slug,brand,model,category,default_gateway_ip,default_login_host,default_username,default_password,default_password_blank,credential_type,credential_note,reset_steps,source_url,source_name,source_archive_url,confidence,last_verified,ssid_url
actiontec-mi424wr,Actiontec,MI424WR (Verizon FiOS),gateway,192.168.1.1,,admin,password,false,static,"Verizon's official Actiontec manual documents the default login as admin / password, after which the router forces you to choose your own credentials. Be aware later revisions (rev C/D and many field-installed FiOS units) instead use a unique password derived from the serial number and printed on the device label.","Open a browser to http://192.168.1.1 and log in with admin / password; the router then prompts you to set your own username and password. If that fails, press and hold the Reset button on the back for about 10-15 seconds until it reboots. Note: many FiOS units use a unique password printed on the label instead — check the sticker if admin/password is rejected.",https://www.verizon.com/content/dam/verizon/support/consumer/documents/actiontecr1408usermanual.pdf,Verizon Actiontec Router User Manual (official PDF),https://web.archive.org/web/20260729070801/https://www.verizon.com/content/dam/verizon/support/consumer/documents/actiontecr1408usermanual.pdf,medium,2026-08-08,https://ssid.ai/routers/actiontec-mi424wr
airtel-xstream-fiber,Airtel,Xstream Fiber Router,gateway,192.168.1.1,,admin,password,false,static,"Airtel's official support page documents 192.168.1.1 with admin / password as the login. This is a genuinely documented default, not an invented admin/admin. Airtel ships several ODM units (Nokia, ZTE, Syrotech); newer fibre ONTs increasingly carry a unique admin password printed on the device label, so check the sticker if admin/password does not work.","Connect to the router over Wi-Fi or by LAN cable, open http://192.168.1.1 in a browser, and sign in with username admin and password password (Airtel's documented default). To factory reset, press and hold the recessed RESET button on the back for about 10-15 seconds until the LEDs blink and the unit reboots, then log back in at 192.168.1.1. If admin/password is rejected, check the sticker on the underside of the unit for a per-device password.",https://www.airtel.in/blog/broadband/use-ip-address-to-login-to-router-settings/,Airtel — Use IP address to login to router settings,,medium,2026-08-08,https://ssid.ai/routers/airtel-xstream-fiber
amazon-eero-6,Amazon,eero (eero 6 / mesh),mesh,,,,,false,app-only,"App-only: the network cannot be configured through a web browser. Login uses a one-time code by SMS/email (or a linked Amazon account) — no default username, password, or admin IP.",Hold the reset button on the back ~15 seconds until the LED flashes red for a full factory reset (erases all network config).,https://support.eero.com/hc/en-us/articles/207599876-Do-I-need-a-password-to-log-into-my-eero-I-think-I-forgot-my-password,eero Help Center — Do I need a password to log in?,,high,2026-08-08,https://ssid.ai/routers/amazon-eero-6
arris-surfboard-s33,ARRIS,SURFboard S33,gateway,192.168.100.1,,admin,,false,label-unique,"The password is derived from the device: username admin, password = last 8 digits of the serial number printed on the label, with a forced password change on first login. Some early firmware accepted admin/password. No universal factory default.","Open a browser to http://192.168.100.1 to reach the S33 web manager (this is a cable-modem diagnostics/settings page, not a Wi-Fi router). Log in with username 'admin' and the last 8 digits of the serial number on the bottom label, then create a new password when prompted. If locked out, wait 10 minutes after too many failed attempts, or factory reset by holding the recessed Reset button on the back for about 10 seconds; after reset, log in again with admin + last 8 of the serial.",https://arris.my.salesforce-sites.com/consumers/articles/knowledge/S33-Web-Manager-Access,ARRIS SURFboard Support (S33/S34: Web Manager Access),,high,2026-08-08,https://ssid.ai/routers/arris-surfboard-s33
arris-surfboard-sb8200,ARRIS,SURFboard SB8200,gateway,192.168.100.1,,admin,,false,label-unique,"Modem, not a router. Older firmware shipped with admin/password, but current firmware uses admin plus the last 8 digits of the serial number (from the label) and forces you to create a new password on first login. There is no universal admin/admin.","The SB8200 is a modem only (no Wi-Fi), so 192.168.100.1 is a diagnostics/web-manager page, not a router settings page. To reach it, open a browser to http://192.168.100.1. On current firmware the username is 'admin' and the password is the last 8 characters of the serial number printed on the modem's bottom label; you'll be prompted to set a new password on first login. To factory reset, press and hold the recessed Reset button on the back with a paperclip for about 10 seconds until the modem restarts, which reverts the admin password to the last-8-of-serial default.",https://arris.my.salesforce-sites.com/consumers/articles/knowledge/SB8200-Web-Manager-Access,ARRIS SURFboard Support (SB8200: Web Manager Access),,high,2026-08-08,https://ssid.ai/routers/arris-surfboard-sb8200
arris-surfboard-sbg7600ac2,ARRIS,SURFboard SBG7600AC2,gateway,192.168.0.1,,admin,password,false,static,Documented default is admin / password (case-sensitive); the web UI forces you to change username and password on first login.,Hold the recessed reset button on the rear ~15 seconds until the modem restarts to restore factory defaults.,https://www.surfboard.com/support/resources/,ARRIS SURFboard official support (SBG7600AC2 user guide),https://web.archive.org/web/20260729065407/https://www.surfboard.com/support/resources/,medium,2026-08-08,https://ssid.ai/routers/arris-surfboard-sbg7600ac2
aruba-instant-on-ap11,Aruba (HPE),Instant On AP11,router,,,,,false,app-only,No universal default credentials. The AP is managed entirely via an Instant On account you create; the account password (not admin/admin) is your login.,"The Instant On AP11 is configured through the HPE Networking Instant On mobile app (or web app). Install the app, choose 'Create an account', register with your own email and a self-chosen password, verify by email, then let the app find and set up the AP — no built-in admin password exists. To factory reset, with the AP powered on press and hold the Reset button for about 1–15 seconds until the LED signals a reset, then re-onboard it in the app.",https://arubanetworking.hpe.com/techdocs/instanton/3.1.0/HPE-Networking-Instant-On-3.1.0-User-Guide-Web-Application-Version.pdf,HPE Networking Instant On 3.1.0 User Guide,,medium,2026-08-08,https://ssid.ai/routers/aruba-instant-on-ap11
aruba-instant-on-ap22,Aruba (HPE),Instant On AP22,router,,,,,false,app-only,No default admin/admin. Access is via an Instant On cloud account you create (your email + your chosen password); the same account manages the AP locally and remotely.,"The Instant On AP22 is set up through the HPE Networking Instant On mobile app (or the web app at instant-on.hpe.com). Install the app, tap 'Create an account', register with your own email and a password you choose, verify by email, then follow the app to discover and configure the AP — there is no factory admin password. To factory reset, with the AP powered on hold the Reset button for about 1–15 seconds until the LED indicates reset, then re-add it in the app.",https://arubanetworking.hpe.com/techdocs/instanton/3.1.0/HPE-Networking-Instant-On-3.1.0-User-Guide-Web-Application-Version.pdf,HPE Networking Instant On 3.1.0 User Guide,,medium,2026-08-08,https://ssid.ai/routers/aruba-instant-on-ap22
asus-rog-rapture-gt-ax11000,ASUS,ROG Rapture GT-AX11000,router,192.168.50.1,router.asus.com,admin,,false,set-on-setup,Gaming router firmware requires setting your own admin password at setup. Login name defaults to 'admin'; there is no fixed default password.,"The Quick Internet Setup wizard forces you to create your own admin login name and password on first login — no admin/admin default. To factory reset: with the router on, press and hold the RESET button (rear) for 5-10 seconds until the power LED flashes, release, and wait for reboot. Re-run setup at http://router.asus.com (192.168.50.1) and set a new admin password.",https://www.asus.com/us/support/faq/1005263/,ASUS Official Support — How do I enter my ASUS router's setting page using Web GUI?,,high,2026-08-08,https://ssid.ai/routers/asus-rog-rapture-gt-ax11000
asus-rog-rapture-gt-axe16000,ASUS,ROG Rapture GT-AXE16000,router,192.168.50.1,router.asus.com,admin,,false,set-on-setup,"The ROG Rapture GT-AXE16000 is a WiFi 6E (AXE16000) flagship, and like every current ASUS it has no factory password: setup forces you to pick one. The account name starts out as admin.","Setup on first login compels you to create your own admin login and password — nothing is shipped preset. Factory reset: with the router on, hold the rear RESET button 5-10 seconds until the power LED flashes, release, and let it come back up. Re-run setup at http://router.asus.com (192.168.50.1) and pick a new admin password.",https://www.asus.com/us/support/faq/1005263/,ASUS Official Support — How do I enter my ASUS router's setting page using Web GUI?,,medium,2026-08-08,https://ssid.ai/routers/asus-rog-rapture-gt-axe16000
